,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign,outcome
0,33,admin.,married,secondary,no,796,yes,no,telephone,6,apr,216,1,-1,0,unknown,no
1,40,management,married,secondary,no,754,no,yes,cellular,6,apr,635,1,-1,0,unknown,yes
2,30,technician,single,secondary,no,10152,yes,no,cellular,6,apr,1108,2,270,1,failure,yes
3,44,blue-collar,married,secondary,no,545,yes,no,cellular,6,apr,122,3,136,1,failure,no
4,35,technician,married,secondary,no,5553,yes,no,cellular,6,apr,371,3,136,7,failure,yes
5,31,services,married,secondary,no,1062,yes,yes,cellular,6,apr,230,1,-1,0,unknown,yes
6,57,technician,married,secondary,no,1144,yes,no,cellular,6,apr,41,2,-1,0,unknown,no
7,36,self-employed,married,secondary,no,1184,yes,no,cellular,6,apr,1063,1,-1,0,unknown,yes
8,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,yes
9,32,technician,single,tertiary,no,948,yes,no,cellular,6,apr,223,2,-1,0,unknown,yes
10,40,blue-collar,married,primary,no,2133,yes,yes,cellular,6,apr,377,3,325,1,failure,yes
11,37,admin.,married,secondary,no,1207,yes,no,telephone,6,apr,1353,2,138,2,success,yes
12,44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,-1,0,unknown,yes
13,37,technician,single,tertiary,no,3943,no,no,cellular,6,apr,1138,2,138,1,failure,yes
14,59,services,married,primary,no,1562,yes,no,telephone,6,apr,471,2,270,1,other,yes
15,42,blue-collar,married,primary,no,574,yes,no,cellular,6,apr,357,2,327,2,failure,yes
16,41,blue-collar,married,secondary,no,0,yes,no,cellular,6,apr,165,4,-1,0,unknown,no
17,44,blue-collar,married,secondary,no,647,yes,no,cellular,6,apr,276,2,-1,0,unknown,yes
18,46,admin.,single,secondary,no,757,yes,yes,cellular,6,apr,342,3,256,3,failure,yes
19,33,admin.,single,secondary,no,2554,yes,no,telephone,6,apr,125,3,249,15,failure,no
20,41,admin.,divorced,secondary,no,270,yes,no,cellular,6,apr,143,1,336,1,failure,yes
21,36,technician,married,secondary,no,0,yes,no,cellular,6,apr,583,3,335,2,other,yes
22,63,retired,married,secondary,no,2734,no,no,cellular,7,apr,72,5,-1,0,unknown,no
23,30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,-1,0,unknown,yes
24,38,management,divorced,tertiary,no,714,yes,no,cellular,7,apr,163,2,-1,0,unknown,yes
25,65,retired,married,primary,no,3713,no,no,cellular,7,apr,43,3,-1,0,unknown,no
26,38,admin.,married,secondary,no,271,no,no,cellular,7,apr,60,3,-1,0,unknown,no
27,38,unemployed,married,tertiary,no,2012,no,no,cellular,7,apr,355,3,-1,0,unknown,yes
28,26,self-employed,single,secondary,no,3676,no,no,cellular,7,apr,148,1,-1,0,unknown,no
29,42,blue-collar,married,secondary,no,349,yes,no,cellular,7,apr,226,2,-1,0,unknown,yes
30,33,management,single,tertiary,no,561,no,no,cellular,7,apr,104,1,-1,0,unknown,no
31,35,technician,single,primary,no,744,yes,no,cellular,7,apr,1096,1,-1,0,unknown,yes
32,46,admin.,divorced,secondary,no,1198,yes,yes,cellular,7,apr,837,1,307,1,other,yes
33,41,technician,married,secondary,no,2185,yes,no,cellular,7,apr,157,4,309,4,other,no
34,33,services,married,secondary,no,387,yes,no,cellular,7,apr,327,2,138,2,failure,yes
35,31,blue-collar,single,secondary,no,823,yes,yes,cellular,7,apr,208,1,-1,0,unknown,yes
36,43,blue-collar,married,secondary,no,902,yes,no,cellular,7,apr,91,1,328,1,failure,yes
37,33,management,married,tertiary,no,663,yes,no,cellular,7,apr,381,1,243,4,failure,yes
38,36,blue-collar,single,secondary,no,3508,yes,no,cellular,7,apr,183,1,266,3,failure,yes
39,36,admin.,married,secondary,no,39,yes,no,cellular,7,apr,194,2,-1,0,unknown,no
40,36,admin.,married,secondary,no,1588,yes,no,cellular,7,apr,103,1,-1,0,unknown,yes
41,31,management,married,secondary,no,625,yes,no,cellular,7,apr,424,1,138,1,failure,yes
42,40,admin.,single,secondary,no,963,yes,no,cellular,7,apr,479,1,-1,0,unknown,yes
43,45,entrepreneur,single,primary,no,0,no,no,cellular,7,apr,354,1,-1,0,unknown,no
44,40,admin.,single,unknown,no,355,yes,no,cellular,7,apr,345,2,138,6,other,yes
45,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,yes
46,53,blue-collar,divorced,secondary,no,1912,yes,yes,cellular,7,apr,210,1,253,2,failure,yes
47,36,management,single,tertiary,no,11767,yes,no,cellular,7,apr,226,1,-1,0,unknown,yes
48,40,admin.,married,secondary,no,2591,yes,yes,cellular,7,apr,389,1,266,2,other,yes
49,43,entrepreneur,married,tertiary,no,903,yes,no,cellular,7,apr,197,1,-1,0,unknown,yes
50,38,technician,single,secondary,no,0,yes,no,cellular,7,apr,196,2,-1,0,unknown,no
51,46,technician,married,secondary,no,138,yes,no,cellular,7,apr,226,2,-1,0,unknown,no
52,36,services,married,secondary,no,3740,yes,no,cellular,7,apr,254,1,-1,0,unknown,yes
53,47,unemployed,married,secondary,no,817,no,no,cellular,7,apr,721,4,-1,0,unknown,yes
54,32,blue-collar,married,secondary,no,897,yes,no,cellular,7,apr,293,3,322,2,failure,yes
55,33,management,married,tertiary,no,0,yes,no,cellular,7,apr,366,1,-1,0,unknown,yes
56,53,blue-collar,married,primary,no,53,yes,no,cellular,7,apr,208,1,140,1,failure,no
57,47,unemployed,married,primary,no,2290,yes,no,cellular,7,apr,274,1,-1,0,unknown,yes
58,56,management,married,tertiary,no,167,yes,no,telephone,7,apr,189,1,-1,0,unknown,no
59,44,unemployed,divorced,secondary,no,522,no,no,cellular,7,apr,411,1,-1,0,unknown,yes
60,29,self-employed,single,tertiary,no,1457,yes,no,cellular,7,apr,89,1,314,1,other,no
61,35,entrepreneur,married,tertiary,no,1859,yes,no,cellular,7,apr,157,1,267,2,failure,yes
62,53,blue-collar,married,secondary,no,2531,yes,no,cellular,7,apr,413,1,-1,0,unknown,yes
63,46,blue-collar,single,tertiary,no,283,no,no,cellular,7,apr,299,1,-1,0,unknown,yes
64,50,services,single,secondary,no,1716,yes,no,cellular,7,apr,272,1,-1,0,unknown,yes
65,31,blue-collar,married,primary,no,1601,no,no,cellular,7,apr,615,1,137,3,failure,yes
66,37,technician,divorced,tertiary,no,1174,yes,no,cellular,7,apr,436,1,140,2,failure,yes
67,38,services,single,secondary,no,167,yes,no,cellular,7,apr,255,2,-1,0,unknown,yes
68,41,services,married,secondary,no,446,yes,no,cellular,7,apr,93,3,140,2,failure,no
69,27,admin.,single,tertiary,no,2068,no,no,cellular,7,apr,49,2,-1,0,unknown,yes
70,56,technician,married,primary,no,1232,no,no,cellular,7,apr,44,1,-1,0,unknown,no
71,39,blue-collar,single,primary,no,581,yes,no,cellular,7,apr,620,1,39,2,success,yes
72,48,services,married,secondary,no,665,yes,no,cellular,7,apr,271,2,230,3,failure,yes
73,42,technician,divorced,primary,no,5076,yes,no,cellular,7,apr,99,1,251,2,other,no
74,71,retired,married,secondary,no,951,no,yes,cellular,7,apr,83,1,-1,0,unknown,no
75,35,management,married,tertiary,no,0,yes,no,cellular,7,apr,139,1,243,2,other,no
76,33,blue-collar,married,primary,no,1064,yes,no,cellular,7,apr,311,1,330,1,failure,yes
77,33,blue-collar,married,secondary,no,1130,yes,no,cellular,7,apr,1063,1,-1,0,unknown,yes
78,35,management,single,tertiary,no,714,yes,no,cellular,7,apr,263,2,224,22,failure,yes
79,43,technician,single,secondary,no,4990,yes,no,cellular,7,apr,58,1,228,10,failure,no
80,33,services,married,secondary,no,0,yes,yes,cellular,7,apr,487,1,-1,0,unknown,yes
